playerName	franchiseName	salary
Elfrid Payton	NYK	5760000
Jahmi'us Ramsey	SAC	1000000
Quinn Cook	LAL	1797183
Gorgui Dieng	SAS	17587688
Taj Gibson	NYK	3283684
Nick Richards	CHO	1000000
Kyle Singler	OKC	999200
Glenn Robinson III	SAC	930930
Deividas Sirvydis	DET	898310
Elijah Hughes	UTA	898310
Tre Jones	SAS	898310
CJ Elleby	POR	898310
Isaiah Joe	PHI	898310
Jordan Nwora	MIL	898310
Daniel Oturu	LAC	898310
Sam Merrill	MIL	898310
Anthony Gill	WAS	898310
Kenyon Martin Jr.	HOU	898310
Vlatko _an_ar	DEN	898310
LaMarcus Aldridge	BRK	19078340
Quinn Cook	LAL	1797183
Andre Drummond	LAL	29546311
Damian Jones	PHO	785285
Shaquille Harrison	UTA	770433
Sindarius Thornwell	NOP	747435
Khyri Thomas	ATL	744684
Patrick Patterson	OKC	3814768
Cole Aldrich	MIN	685340
Shaun Livingston	GSW	666667
Moses Brown	OKC	495102
Dakari Johnson	MEM	459414
Iman Shumpert	BRK	447155
Wayne Ellington	NYK	3005225
Bruno Caboclo	HOU	361256
A.J. Hammons	MIA	350087
An_ejs Pase__iks	WAS	350000
Rayjon Tucker	CLE	340000
Thon Maker	CLE	309355
Oshae Brissett	TOR	300000
Noah Vonleh	BRK	263995
Frank Jackson	OKC	
Norvel Pelle	BRK	217845
Andre Roberson	BRK	152839
Justin Anderson	PHI	125000
Troy Williams	HOU	122741
Demetrius Jackson	BOS	92857
Henry Ellenson	TOR	50000
Chimezie Metu	SAC	
