playerName	date	winningTeam	opposingTeam	assistedPlayerName	distance																		
Luke Ridnour	Dec 1 2006	SEA	IND	unassisted	3																		
Delonte West	Nov 8 2006	BOS	CHA	P. Pierce	22																		
Kobe Bryant	Apr 30 2006 p	LAL	PHO	unassisted	17																		
Kevin Martin	Apr 28 2006 p	SAC	SAS	M. Bibby	At Rim																		
Josh Childress	Apr 5 2006	ATL	MIN	Z. Pachulia	At Rim																		
Jason Richardson	Mar 23 2006	GSW	DAL	unassisted	24																		
Damon Jones	Mar 8 2006	CLE	TOR	L. James	23																		
Paul Pierce	Mar 7 2006	BOS	WAS	unassisted	18																		
David West	Feb 13 2006	NOK	WAS	D. Mason	21																		
Pau Gasol	Feb 13 2006	MEM	GSW	unassisted	4																		
Ray Allen	Jan 22 2006	SEA	PHO	unassisted	35																		
Andre Iguodala	Jan 22 2006	PHI	MIN	unassisted	10																		
Ben Gordon	Jan 18 2006	CHI	NYK	unassisted	22																		
Andrew Bogut	Dec 20 2005	MIL	SAS	T. Kukoč	8																		
Bonzi Wells	Dec 13 2005	SAC	MIN	B. Miller	24																		
Mo Williams	Dec 2 2005	MIL	WAS	unassisted	27																		
Jason Terry	Nov 28 2005	DAL	TOR	M. Daniels	9																		
Nate Robinson	Nov 26 2005	NYK	PHI	S. Marbury	23																		
Mo Williams	Nov 12 2005	MIL	IND	B. Simmons	29																		
Pau Gasol	Nov 12 2005	MEM	ATL	unassisted	At Rim																		
Ricky Davis	Nov 9 2005	BOS	MEM	P. Pierce	15																		
Richard Hamilton	Nov 4 2005	DET	BOS	T. Prince	17																		
Gilbert Arenas	May 4 2005 p	WAS	CHI	unassisted	14																		
Mike Miller	Apr 18 2005	MEM	SAS	J. Williams	22																		
Mike Sweetney	Apr 10 2005	NYK	IND	unassisted	1																		
Derek Fisher	Mar 25 2005	GSW	MIL	J. Richardson	28																		
Dwyane Wade	Mar 15 2005	MIA	NYK	unassisted	18																		
Mike Bibby	Mar 8 2005	SAC	MEM	P. Stojaković	33																		
Tim Duncan	Feb 28 2005	SAS	CLE	T. Parker	19																		
Nick Van Exel	Feb 14 2005	POR	CHA	D. Anderson	29																		
Tim Thomas	Feb 13 2005	NYK	CHA	K. Thomas	23																		
Scott Padgett	Jan 21 2005	HOU	NYK	unassisted	6																		
Mehmet Okur	Jan 10 2005	UTA	SAS	unassisted	At Rim																		
Quentin Richardson	Dec 20 2004	PHO	DEN	unassisted	At Rim																		
Chris Webber	Dec 14 2004	SAC	MIL	M. Bibby	26																		
Shareef Abdur-Rahim	Dec 9 2004	POR	BOS	D. Anderson	25																		
Dwyane Wade	Nov 19 2004	MIA	UTA	unassisted	20																		
Jamal Crawford	Nov 18 2004	NYK	HOU	A. Hardaway	26																		
Allen Iverson	Nov 12 2004	PHI	IND	unassisted	14																		
Paul Pierce	Nov 10 2004	BOS	POR	unassisted	21																		
Derek Fisher	May 13 2004 p	LAL	SAS	G. Payton	16																		
Kobe Bryant	Apr 14 2004	LAL	POR	G. Payton	26																		
Chris Wilcox	Apr 13 2004	LAC	PHO	unassisted	At Rim																		
Gilbert Arenas	Apr 9 2004	WAS	PHI	unassisted	27																		
Carlos Arroyo	Mar 27 2004	UTA	DEN	R. Bell	15																		
Jamaal Magloire	Mar 23 2004	NOH	DET	unassisted	11																		
Jamal Mashburn	Mar 3 2004	NOH	CHI	unassisted	25																		
Jim Jackson	Feb 6 2004	HOU	CHI	C. Mobley	22																		
Antoine Walker	Jan 27 2004	DAL	SEA	M. Finley	21																		
Kobe Bryant	Dec 19 2003	LAL	DEN	D. George	21																		
Glen Rice	Dec 10 2003	LAC	DAL	unassisted	15																		
Kevin Garnett	Dec 7 2003	MIN	LAC	unassisted	21																		
Ronald Murray	Nov 11 2003	SEA	MIN	unassisted	13																		
Stephon Marbury	Apr 19 2003 p	PHO	SAS	unassisted	25																		
Kobe Bryant	Apr 4 2003	LAL	MEM	unassisted	21																		
Shareef Abdur-Rahim	Apr 3 2003	ATL	WAS	A. Henderson	17																		
Chauncey Billups	Mar 9 2003	DET	GSW	unassisted	28																		
Robert Horry	Mar 5 2003	LAL	IND	unassisted	23																		
Andrei Kirilenko	Mar 2 2003	UTA	NJN	unassisted	At Rim																		
Wally Szczerbiak	Feb 11 2003	MIN	DAL	A. Peeler	17																		
Tim Duncan	Jan 24 2003	SAS	UTA	unassisted	16																		
Jermaine O'Neal	Jan 18 2003	IND	DET	E. Strickland	19																		
Jason Terry	Dec 27 2002	ATL	SAS	unassisted	15																		
Robert Traylor	Dec 20 2002	NOH	SEA	unassisted	At Rim																		
Rasheed Wallace	Dec 20 2002	POR	GSW	S. Pippen	16																		
Ryan Bowen	Nov 23 2002	DEN	PHO	D. Harvey	At Rim																		
James Posey	Nov 22 2002	DEN	LAC	D. Harvey	17																		
David Wesley	Nov 19 2002	NOH	PHI	unassisted	8																		
Jerry Stackhouse	Nov 8 2002	WAS	LAL	B. Russell	2																		
Tim Duncan	Nov 4 2002	SAS	MEM	S. Kerr	13																		
Robert Horry	May 26 2002 p	LAL	SAC	unassisted	25																		
Jeff McInnis	Mar 29 2002	LAC	PHO	unassisted	20																		
Lamond Murray	Mar 19 2002	CLE	NJN	A. Miller	24																		
Jalen Rose	Mar 16 2002	CHI	HOU	unassisted	15																		
Jon Barry	Mar 7 2002	DET	WAS	D. Jones	24																		
Eddie Jones	Mar 5 2002	MIA	DET	unassisted	15																		
Kobe Bryant	Feb 22 2002	LAL	CHH	unassisted	18																		
Lee Nailon	Feb 1 2002	CHH	HOU	E. Campbell	20																		
Michael Jordan	Jan 31 2002	WAS	CLE	P. Jones	15																		
Moochie Norris	Jan 8 2002	HOU	NYK	S. Francis	23																		
Anfernee Hardaway	Dec 9 2001	PHO	TOR	R. Rogers	At Rim																		
Paul Pierce	Nov 27 2001	BOS	MIA	unassisted	At Rim																		
Moochie Norris	Nov 4 2001	HOU	PHO	S. Francis	25																		
Shammond Williams	Mar 1 2001	SEA	CLE	D. Mason	20																		
Antonio McDyess	Jan 27 2001	DEN	DAL	unassisted	At Rim																		
Howard Eisley	Jan 17 2001	DAL	CHH	D. Nowitzki	24																		
Elton Brand	Jan 4 2001	CHI	WAS	B. Drew	19																		
Vin Baker	Dec 30 2000	SEA	CHH	B. Barry	19																		
Milt Palacio	Dec 28 2000	BOS	NJN	unassisted	30																		
Ray Allen	Dec 21 2000	MIL	NJN	unassisted	15																		
Moochie Norris	Dec 14 2000	HOU	GSW	C. Mobley	35																		
Paul Pierce	Dec 10 2000	BOS	DEN	M. Palacio	18																		
Sam Cassell	Nov 28 2000	MIL	MIA	G. Robinson	26																		
Michael Finley	Nov 10 2000	DAL	SAS	unassisted	22																		
Elden Campbell	Apr 10 2000	CHH	WAS	A. Mason	19																		
Kevin Garnett	Apr 10 2000	MIN	DET	S. Mitchell	12																		
Tim Hardaway	Apr 9 2000	MIA	NYK	unassisted	25																		
Mike Bibby	Apr 4 2000	VAN	HOU	unassisted	At Rim																		
Charles Oakley	Mar 28 2000	TOR	CLE	V. Carter	24																		
Erick Strickland	Mar 21 2000	DAL	SAS	unassisted	At Rim																		
Vince Carter	Mar 8 2000	TOR	LAC	T. McGrady	31																		
Pat Garrity	Mar 6 2000	ORL	WAS	unassisted	19																		
Keith Van Horn	Mar 2 2000	NJN	DAL	unassisted	16																		
Vince Carter	Mar 1 2000	TOR	BOS	unassisted	23																		
Larry Hughes	Feb 9 2000	PHI	NJN	unassisted	At Rim																		
Glenn Robinson	Feb 3 2000	MIL	UTA	V. Del Negro	26																		
Tim Thomas	Jan 29 2000	MIL	SEA	V. Del Negro	15																		
Michael Dickerson	Jan 27 2000	VAN	NJN	D. Scott	16																		
Chuck Person	Jan 26 2000	SEA	NJN	E. Davis	29																		
Malik Sealy	Jan 17 2000	MIN	IND	S. Mitchell	25																		
Terry Mills	Dec 30 1999	DET	ATL	G. Hill	23																		
Malik Sealy	Dec 27 1999	MIN	ORL	unassisted	At Rim																		
Eric Snow	Dec 20 1999	PHI	DET	A. McKie	16																		
Aaron McKie	Dec 3 1999	PHI	CLE	unassisted	12																		
Hersey Hawkins	Apr 15 1999	SEA	SAC	G. Payton	24																		
Lindsey Hunter	Apr 9 1999	DET	IND	G. Hill	27																		
Jerry Stackhouse	Mar 21 1999	DET	UTA	G. Hill	27																		
