gameID,playerName,date,winningTeam,opposingTeam,assistedPlayerName,distance
221,Paul Pierce,Dec 9 2006,BOS,BRK,unassisted,22
222,James Posey,Dec 2 2006,MIA,MEM,J. Williams,26
223,Luke Ridnour,Dec 1 2006,OKC,IND,unassisted,3
224,Delonte West,Nov 8 2006,BOS,CHA,P. Pierce,22
225,Kobe Bryant,Apr 30 2006 p,LAL,PHO,unassisted,17
226,Kevin Martin,Apr 28 2006 p,SAC,SAS,M. Bibby,0
227,Josh Childress,Apr 5 2006,ATL,LAL,Z. Pachulia,0
228,Jason Richardson,Mar 23 2006,GSW,DAL,unassisted,24
229,Damon Jones,Mar 8 2006,CLE,TOR,L. James,23
230,Paul Pierce,Mar 7 2006,BOS,WAS,unassisted,18
231,David West,Feb 13 2006,NOP,WAS,D. Mason,21
232,Pau Gasol,Feb 13 2006,MEM,GSW,unassisted,4
233,Ray Allen,Jan 22 2006,OKC,PHO,unassisted,35
234,Andre Iguodala,Jan 22 2006,GSW,LAL,unassisted,10
235,Ben Gordon,Jan 18 2006,WAS,NYK,unassisted,22
236,Andrew Bogut,Dec 20 2005,ATL,SAS,T. Kukoč,8
237,Bonzi Wells,Dec 13 2005,SAC,LAL,B. Miller,24
238,Mo Williams,Dec 2 2005,ATL,WAS,unassisted,27
239,Jason Terry,Nov 28 2005,DAL,TOR,M. Daniels,9
240,Nate Robinson,Nov 26 2005,NYK,GSW,S. Marbury,23
241,Mo Williams,Nov 12 2005,ATL,IND,B. Simmons,29
242,Pau Gasol,Nov 12 2005,MEM,ATL,unassisted,0
243,Ricky Davis,Nov 9 2005,BOS,MEM,P. Pierce,15
244,Richard Hamilton,Nov 4 2005,DET,BOS,T. Prince,17
245,Gilbert Arenas,May 4 2005 p,WAS,WAS,unassisted,14
246,Mike Miller,Apr 18 2005,MEM,SAS,J. Williams,22
247,Mike Sweetney,Apr 10 2005,NYK,IND,unassisted,1
248,Derek Fisher,Mar 25 2005,GSW,ATL,J. Richardson,28
249,Dwyane Wade,Mar 15 2005,MIA,NYK,unassisted,18
250,Mike Bibby,Mar 8 2005,SAC,MEM,P. Stojaković,33
251,Tim Duncan,Feb 28 2005,SAS,CLE,T. Parker,19
252,Nick Van Exel,Feb 14 2005,POR,CHA,D. Anderson,29
253,Tim Thomas,Feb 13 2005,NYK,CHA,K. Thomas,23
254,Scott Padgett,Jan 21 2005,HOU,NYK,unassisted,6
255,Mehmet Okur,Jan 10 2005,UTA,SAS,unassisted,0
256,Quentin Richardson,Dec 20 2004,PHO,DEN,unassisted,0
257,Chris Webber,Dec 14 2004,SAC,ATL,M. Bibby,26
258,Shareef Abdur-Rahim,Dec 9 2004,POR,BOS,D. Anderson,25
259,Dwyane Wade,Nov 19 2004,MIA,UTA,unassisted,20
260,Jamal Crawford,Nov 18 2004,NYK,HOU,A. Hardaway,26
261,Allen Iverson,Nov 12 2004,GSW,IND,unassisted,14
262,Paul Pierce,Nov 10 2004,BOS,POR,unassisted,21
263,Derek Fisher,May 13 2004 p,LAL,SAS,G. Payton,16
264,Kobe Bryant,Apr 14 2004,LAL,POR,G. Payton,26
265,Chris Wilcox,Apr 13 2004,LAC,PHO,unassisted,0
266,Gilbert Arenas,Apr 9 2004,WAS,GSW,unassisted,27
267,Carlos Arroyo,Mar 27 2004,UTA,DEN,R. Bell,15
268,Jamaal Magloire,Mar 23 2004,NOP,DET,unassisted,11
269,Jamal Mashburn,Mar 3 2004,NOP,WAS,unassisted,25
270,Jim Jackson,Feb 6 2004,HOU,WAS,C. Mobley,22
271,Antoine Walker,Jan 27 2004,DAL,OKC,M. Finley,21
272,Kobe Bryant,Dec 19 2003,LAL,DEN,D. George,21
273,Glen Rice,Dec 10 2003,LAC,DAL,unassisted,15
274,Kevin Garnett,Dec 7 2003,LAL,LAC,unassisted,21
275,Ronald Murray,Nov 11 2003,OKC,LAL,unassisted,13
276,Stephon Marbury,Apr 19 2003 p,PHO,SAS,unassisted,25
277,Kobe Bryant,Apr 4 2003,LAL,MEM,unassisted,21
278,Shareef Abdur-Rahim,Apr 3 2003,ATL,WAS,A. Henderson,17
279,Chauncey Billups,Mar 9 2003,DET,GSW,unassisted,28
