playerName,salary,season,,,,,
Justin Robinson,99020,2020-2021,,,,,
Donta Hall,99020,2020-2021,,,,,
Demetrius Jackson,92857,2020-2021,,,,,
Dakota Mathias,86132,2020-2021,,,,,
Malik Fitts,61528,2020-2021,,,,,
Devin Cannady,61528,2020-2021,,,,,
Freddie Gillespie,61528,2020-2021,,,,,
Jerian Grant,50000,2020-2021,,,,,
Frank Mason,39989,2020-2021,,,,,
Tyler Hall,25000,2020-2021,,,,,
Stephen Curry,40231758,2019-2020,,,,,
Russell Westbrook,38506482,2019-2020,,,,,
Chris Paul,38506482,2019-2020,,,,,
James Harden,38199000,2019-2020,,,,,
John Wall,38199000,2019-2020,,,,,
LeBron James,37436858,2019-2020,,,,,
Kevin Durant,37199000,2019-2020,,,,,
Blake Griffin,34449964,2019-2020,,,,,
Kyle Lowry,33296296,2019-2020,,,,,
Paul George,33005556,2019-2020,,,,,
Kemba Walker,32742000,2019-2020,,,,,
Klay Thompson,32742000,2019-2020,,,,,
Kawhi Leonard,32742000,2019-2020,,,,,
Jimmy Butler,32742000,2019-2020,,,,,
Tobias Harris,32742000,2019-2020,,,,,
Gordon Hayward,32700690,2019-2020,,,,,
Mike Conley,32511623,2019-2020,,,,,
Kyrie Irving,31742000,2019-2020,,,,,
Khris Middleton,30603448,2019-2020,,,,,
Paul Millsap,30350000,2019-2020,,,,,
Damian Lillard,29802321,2019-2020,,,,,
Kevin Love,28942830,2019-2020,,,,,
Nikola Vucevic,28000000,2019-2020,,,,,
Al Horford,28000000,2019-2020,,,,,
DeMar DeRozan,27739975,2019-2020,,,,,
CJ McCollum,27556959,2019-2020,,,,,
Nikola Jokic,27504630,2019-2020,,,,,
